date_time;value
1679234990.749758,82
1679235268.490606,97
1679235516.392136,77
1679235744.942104,81
1679235922.616012,99
1679236225.42872,90
1679236530.762881,78
1679236794.891192,75
1679237122.123411,75
1679237245.957144,79
1679237386.220829,82
1679237549.41503,95
1679237810.068002,77
1679238142.565916,76
1679238245.969647,84
1679238419.118039,79
1679238572.47249,83
1679238707.614795,74
1679238800.892113,88
1679238997.326992,96
1679239148.181463,92
1679239321.822094,76
1679239585.502664,83
1679239905.692627,71
1679240081.803705,79
1679240210.665815,87
